,state,year,month,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,state_abbr,fips_state,state_name,state_proper
315,Kentucky,2020,12,60.786774193548396,60.3009677419355,64.76967741935488,29.032258064516128,KY,21,KENTUCKY,Kentucky
316,Kentucky,2021,1,58.929032258064495,61.084838709677385,63.58774193548387,43.54838709677419,KY,21,KENTUCKY,Kentucky
317,Kentucky,2021,2,58.329999999999984,60.45857142857143,63.74,37.5,KY,21,KENTUCKY,Kentucky
318,Kentucky,2021,3,58.32999999999998,57.47225806451617,60.32290322580646,37.5,KY,21,KENTUCKY,Kentucky
319,Kentucky,2021,4,38.55100000000002,48.76363636363637,48.744666666666674,0.0,KY,21,KENTUCKY,Kentucky
320,Kentucky,2021,5,32.41,0.0,38.69,0.0,KY,21,KENTUCKY,Kentucky
321,Kentucky,2021,6,33.76400000000002,37.742666666666665,39.56533333333332,0.0,KY,21,KENTUCKY,Kentucky
322,Kentucky,2021,7,35.41499999999999,38.58333333333334,40.52611111111111,0.0,KY,21,KENTUCKY,Kentucky
323,Louisiana,2020,1,0.0,1.9493548387096777,2.1112903225806456,0.8064516129032258,LA,22,LOUISIANA,Louisiana
324,Louisiana,2020,2,0.0,5.209999999999999,5.949999999999998,0.0,LA,22,LOUISIANA,Louisiana
325,Louisiana,2020,3,43.54806451612905,37.852580645161275,38.01709677419355,36.693548387096776,LA,22,LOUISIANA,Louisiana
326,Louisiana,2020,4,75.93000000000002,66.14900000000004,63.09566666666665,87.5,LA,22,LOUISIANA,Louisiana
327,Louisiana,2020,5,68.34096774193551,64.18677419354836,60.85903225806454,87.5,LA,22,LOUISIANA,Louisiana
328,Louisiana,2020,6,66.67000000000003,64.22066666666666,62.79999999999997,74.16666666666667,LA,22,LOUISIANA,Louisiana
329,Louisiana,2020,7,67.9209677419355,63.18741935483869,64.21129032258067,56.04838709677419,LA,22,LOUISIANA,Louisiana
330,Louisiana,2020,8,66.75451612903227,57.34032258064514,63.75000000000001,12.5,LA,22,LOUISIANA,Louisiana
331,Louisiana,2020,9,63.890000000000036,57.94866666666667,60.86866666666665,37.5,LA,22,LOUISIANA,Louisiana
332,Louisiana,2020,10,63.89000000000004,56.76999999999999,59.51999999999999,37.5,LA,22,LOUISIANA,Louisiana
333,Louisiana,2020,11,59.56866666666671,55.79933333333335,58.40933333333337,37.5,LA,22,LOUISIANA,Louisiana
334,Louisiana,2020,12,55.70419354838709,53.37709677419356,55.64419354838712,37.5,LA,22,LOUISIANA,Louisiana
335,Louisiana,2021,1,61.28935483870968,56.44903225806451,59.15548387096776,37.5,LA,22,LOUISIANA,Louisiana
336,Louisiana,2021,2,60.05035714285717,58.42464285714287,61.41000000000003,37.5,LA,22,LOUISIANA,Louisiana
337,Louisiana,2021,3,57.926451612903264,58.163548387096775,61.11548387096774,37.5,LA,22,LOUISIANA,Louisiana
338,Louisiana,2021,4,54.26233333333335,59.58700000000002,62.73966666666664,37.5,LA,22,LOUISIANA,Louisiana
339,Louisiana,2021,5,53.30129032258065,57.58354838709676,60.455483870967775,37.5,LA,22,LOUISIANA,Louisiana
340,Louisiana,2021,6,49.73366666666663,55.58033333333331,58.16333333333333,37.5,LA,22,LOUISIANA,Louisiana
341,Louisiana,2021,7,46.10157894736842,53.45631578947366,55.73263157894737,37.5,LA,22,LOUISIANA,Louisiana
342,Maine,2020,1,0.0,1.9493548387096777,2.1112903225806456,0.8064516129032258,ME,23,MAINE,Maine
343,Maine,2020,2,4.408620689655173,7.685517241379314,8.78241379310345,0.0,ME,23,MAINE,Maine
344,Maine,2020,3,46.204516129032264,36.71096774193548,37.11354838709678,33.87096774193548,ME,23,MAINE,Maine
345,Maine,2020,4,92.93333333333332,71.91333333333337,69.684,87.5,ME,23,MAINE,Maine
346,Maine,2020,5,89.60096774193545,72.70161290322582,70.58064516129032,87.5,ME,23,MAINE,Maine
347,Maine,2020,6,83.32999999999997,73.44000000000004,71.43000000000004,87.5,ME,23,MAINE,Maine
348,Maine,2020,7,83.32999999999997,74.14451612903227,72.35129032258065,86.69354838709677,ME,23,MAINE,Maine
349,Maine,2020,8,83.09129032258063,69.33774193548386,73.65645161290318,39.11290322580645,ME,23,MAINE,Maine
350,Maine,2020,9,71.4183333333333,62.56933333333334,66.15433333333334,37.5,ME,23,MAINE,Maine
351,Maine,2020,10,66.96225806451609,60.06161290322577,63.28580645161295,37.5,ME,23,MAINE,Maine
352,Maine,2020,11,63.453333333333276,59.132666666666644,62.63833333333333,34.583333333333336,ME,23,MAINE,Maine
353,Maine,2020,12,61.10999999999996,60.22129032258068,62.60161290322582,43.54838709677419,ME,23,MAINE,Maine
354,Maine,2021,1,59.677741935483844,60.23064516129033,61.692580645161264,50.0,ME,23,MAINE,Maine
355,Maine,2021,2,55.55999999999997,59.225357142857135,60.54428571428574,50.0,ME,23,MAINE,Maine
356,Maine,2021,3,55.55999999999997,60.190967741935474,61.75935483870967,49.193548387096776,ME,23,MAINE,Maine
357,Maine,2021,4,54.32333333333329,60.055333333333316,63.276,37.5,ME,23,MAINE,Maine
358,Maine,2021,5,44.74612903225804,53.81548387096777,56.141935483870995,37.5,ME,23,MAINE,Maine
359,Maine,2021,6,37.039999999999985,49.48000000000001,51.19000000000003,37.5,ME,23,MAINE,Maine
360,Maine,2021,7,37.040000000000006,49.48000000000001,51.190000000000005,37.5,ME,23,MAINE,Maine
361,Maryland,2020,1,0.0,1.9493548387096777,2.1112903225806456,0.8064516129032258,MD,24,MARYLAND,Maryland
362,Maryland,2020,2,0.0,5.209999999999999,5.949999999999998,0.0,MD,24,MARYLAND,Maryland
363,Maryland,2020,3,47.34225806451612,36.963548387096765,37.69290322580644,31.85483870967742,MD,24,MARYLAND,Maryland
364,Maryland,2020,4,92.59333333333332,76.48933333333326,74.92299999999999,87.5,MD,24,MARYLAND,Maryland
365,Maryland,2020,5,89.75741935483869,76.41000000000001,74.82935483870963,87.5,MD,24,MARYLAND,Maryland
366,Maryland,2020,6,72.34633333333338,69.54799999999997,66.98133333333334,87.5,MD,24,MARYLAND,Maryland
367,Maryland,2020,7,61.60322580645162,63.31548387096776,59.97838709677419,86.69354838709677,MD,24,MARYLAND,Maryland
368,Maryland,2020,8,56.22387096774193,60.797096774193584,60.54935483870966,62.5,MD,24,MARYLAND,Maryland
369,Maryland,2020,9,53.24,57.099333333333334,57.51933333333333,54.166666666666664,MD,24,MARYLAND,Maryland
370,Maryland,2020,10,52.10612903225805,55.97322580645162,56.82580645161292,50.0,MD,24,MARYLAND,Maryland
371,Maryland,2020,11,61.57533333333332,63.86233333333335,65.84100000000005,50.0,MD,24,MARYLAND,Maryland
372,Maryland,2020,12,66.75483870967744,68.32161290322581,70.36322580645161,54.03225806451613,MD,24,MARYLAND,Maryland
373,Maryland,2021,1,68.54451612903229,71.26096774193546,70.7316129032258,75.0,MD,24,MARYLAND,Maryland
374,Maryland,2021,2,58.50214285714286,65.15428571428575,63.7467857142857,75.0,MD,24,MARYLAND,Maryland
375,Maryland,2021,3,53.822903225806414,62.27612903225804,60.462903225806414,75.0,MD,24,MARYLAND,Maryland
376,Maryland,2021,4,51.85,62.44260869565217,60.65043478260867,75.0,MD,24,MARYLAND,Maryland
377,Maryland,2021,5,43.57645161290319,56.80806451612906,54.20612903225805,75.0,MD,24,MARYLAND,Maryland
378,Maryland,2021,6,39.80999999999997,54.48133333333336,51.78999999999998,73.33333333333333,MD,24,MARYLAND,Maryland
379,Maryland,2021,7,39.81,48.95666666666667,48.81333333333334,50.0,MD,24,MARYLAND,Maryland
