,year,month,state,covid_19_deaths,state_abbr,fips_state,state_name,state_proper
417,2021,5,North Dakota,32,ND,38,NORTH DAKOTA,North Dakota
418,2020,6,North Dakota,20,ND,38,NORTH DAKOTA,North Dakota
419,2021,6,North Dakota,17,ND,38,NORTH DAKOTA,North Dakota
420,2020,1,Ohio,0,OH,39,OHIO,Ohio
421,2021,1,Ohio,4164,OH,39,OHIO,Ohio
422,2020,2,Ohio,0,OH,39,OHIO,Ohio
423,2021,2,Ohio,1620,OH,39,OHIO,Ohio
424,2020,3,Ohio,98,OH,39,OHIO,Ohio
425,2021,3,Ohio,765,OH,39,OHIO,Ohio
426,2020,4,Ohio,1062,OH,39,OHIO,Ohio
427,2021,4,Ohio,649,OH,39,OHIO,Ohio
