,state_code,area_code,prepandemic_growth,leisure_by_emp,total_emp_feb2020,manufacturing_emp_feb2020,service_emp_feb2020,total_emp_jun2021,manufacturing_emp_jun2021,service_emp_jun2021,total_employment,manufacturing,service,emp_tot_change_feb2020_jun2021,manufacturing_change_feb2020_jun2021,service_change_feb2020_jun2021
197,26,22420,0.022107590272660283,0.10881134901753456,136.8,18.1,118.7,123.2,18.1,105.1,138.7,18.9,119.8,-0.09941520467836262,0.0,-0.11457455770850888
198,26,24340,0.07561436672967864,0.0843441017790397,563.7,142.8,420.9,504.4,130.6,373.8,569.0,144.8,424.2,-0.10519780024835912,-0.08543417366946793,-0.11190306486101209
199,26,27100,0.04255319148936168,0.08778442863995661,57.8,11.8,46.0,52.7,10.8,41.9,58.8,12.0,46.8,-0.08823529411764697,-0.0847457627118644,-0.08913043478260874
200,26,28020,0.059691011235955056,0.10434178250204416,150.0,29.0,121.0,133.6,27.8,105.8,150.9,29.6,121.4,-0.1093333333333334,-0.04137931034482756,-0.12561983471074378
201,26,29620,0.051769911504424726,0.0784325918095564,238.8,27.4,211.4,209.2,26.9,182.3,237.7,27.5,210.2,-0.12395309882747074,-0.018248175182481785,-0.1376537369914853
202,26,33220,-0.015789473684210565,,37.4,8.8,28.6,34.0,8.2,25.8,37.4,8.8,28.7,-0.09090909090909083,-0.06818181818181834,-0.09790209790209792
203,26,33780,-0.025882352941176506,0.10656500989407526,40.6,7.4,33.2,36.8,7.0,29.8,41.4,7.6,33.8,-0.0935960591133006,-0.05405405405405406,-0.10240963855421692
204,26,34740,0.014195583596214489,0.11416919575113814,63.0,16.1,46.9,56.7,14.1,42.6,64.3,16.4,47.9,-0.09999999999999998,-0.12422360248447217,-0.09168443496801704
205,26,35660,0.024350649350649352,0.1161022537724505,61.2,15.8,45.4,56.2,14.0,42.2,63.1,15.7,47.4,-0.0816993464052288,-0.11392405063291144,-0.07048458149779724
206,26,40980,-0.003409090909090877,0.09940558473873376,86.7,15.2,71.5,76.6,13.9,62.7,87.7,15.3,72.3,-0.11649365628604391,-0.08552631578947367,-0.12307692307692308
207,26,47664,0.05585106382978727,0.09125387215348667,1252.0,211.4,1040.6,1108.5,199.9,908.6,1270.4,216.4,1054.0,-0.11461661341853036,-0.054399243140965,-0.12684989429175464
208,27,20260,0.008082292432035227,0.10272973904437038,136.2,16.8,119.4,121.0,16.0,105.0,137.2,17.8,119.4,-0.11160058737151246,-0.04761904761904767,-0.12060301507537696
209,27,31860,0.04448398576512455,,58.1,9.9,48.2,52.8,9.8,43.0,58.7,10.7,48.1,-0.09122203098106718,-0.010101010101010055,-0.10788381742738595
210,27,33460,0.05486762343920009,0.08903940364666914,1999.0,272.6,1726.4,1837.2,280.3,1556.9,2036.0,287.4,1748.6,-0.08094047023511752,0.028246515040352138,-0.09818118628359596
211,27,40340,0.06249999999999998,0.08716699830714861,121.4,15.3,106.1,113.7,16.2,97.5,124.1,16.2,108.0,-0.06342668863261947,0.05882352941176472,-0.08105560791705935
212,27,41060,0.03361344537815134,0.07566383372231274,109.4,21.2,88.2,101.3,22.0,79.3,110.7,22.6,88.1,-0.07404021937842786,0.037735849056603765,-0.10090702947845809
213,28,25060,0.012305699481865322,0.19384853168469857,154.1,25.0,129.1,146.4,24.8,121.6,156.3,25.1,131.2,-0.04996755353666438,-0.008000000000000007,-0.05809450038729669
214,28,25620,0.049679487179487204,0.12288852136100943,65.6,7.4,58.2,60.8,7.2,53.6,65.5,7.5,58.0,-0.07317073170731703,-0.027027027027027084,-0.07903780068728528
