,NAME,state,county,total_pop,hispanic,white_nonhispanic,black_nonhispanic,other_nonhispanic,asian_nonhispanic,above_65,less_than_9grade,hs_nodiploma,ged,college_nodegree,associates,bachelors_graduate
885,"Essex County, Massachusetts",25,9,789034,175535,544403,27570,11955,29571,138529.0,5.7,5.0,25.1,16.2,8.2,39.9
886,"Essex County, New Jersey",34,13,798975,190013,241466,308179,13568,45749,111102.0,7.0,6.9,28.0,16.8,5.8,35.5
887,"Essex County, New York",36,31,36885,1112,34027,867,579,300,8949.0,2.5,6.0,34.4,18.4,11.8,26.8
888,"Essex County, Vermont",50,9,6163,91,5862,35,131,44,1635.0,4.7,8.5,46.0,15.0,9.7,16.2
889,"Essex County, Virginia",51,57,10953,427,6009,4048,340,129,2600.0,4.6,13.0,37.7,22.4,4.9,17.4
890,"Estill County, Kentucky",21,65,14106,177,13683,62,168,16,2712.0,12.4,12.0,45.8,15.7,4.2,9.9
891,"Etowah County, Alabama",1,55,102268,4230,79207,15876,2120,835,19796.0,4.8,10.6,32.9,24.8,9.1,17.8
892,"Eureka County, Nevada",32,11,2029,268,1630,21,86,24,332.0,,,,,,
893,"Evangeline Parish, Louisiana",22,39,33395,1349,22219,9104,560,163,5286.0,12.1,12.2,41.5,15.6,7.0,11.6
894,"Evans County, Georgia",13,109,10654,1255,5999,3166,150,84,1737.0,10.2,13.6,38.9,16.6,5.0,15.8
895,"Fairbanks North Star Borough, Alaska",2,90,96849,7938,67064,4638,13526,3683,10828.0,2.0,3.5,22.6,31.1,9.4,31.4
896,"Fairfax County, Virginia",51,59,1147532,189515,574332,114038,40630,229017,160461.0,4.2,3.3,12.8,12.6,5.5,61.6
897,"Fairfax city, Virginia",51,600,24019,4232,13175,1408,750,4454,3493.0,3.1,2.8,13.4,14.0,5.8,60.8
898,"Fairfield County, Connecticut",9,1,943332,193772,574568,105105,15334,54553,153951.0,5.3,4.7,21.5,14.3,6.3,47.9
899,"Fairfield County, Ohio",39,45,157574,3741,133835,13365,3562,3071,25340.0,2.0,5.3,34.0,21.7,9.4,27.6
900,"Fairfield County, South Carolina",45,39,22347,528,8605,12631,419,164,5013.0,5.2,8.6,41.3,20.6,7.4,16.9
901,"Fall River County, South Dakota",46,47,6713,258,5654,75,612,114,2007.0,1.7,3.9,35.1,28.8,9.5,21.1
902,"Fallon County, Montana",30,25,2846,46,2698,5,71,26,484.0,,,,,,
903,"Falls Church city, Virginia",51,610,14617,1554,10409,640,585,1429,2055.0,0.3,0.8,7.3,9.8,4.3,77.6
